time,node,"idleness,t_imp"
107.39999999999817,23,2.2000000000000006,0.0
107.39999999999817,24,2.700000000000001,1.299999999999999
107.49999999999817,0,2.9000000000000012,1.0999999999999988
107.49999999999817,1,3.4000000000000017,0.0
107.49999999999817,2,0.1,0.0
107.49999999999817,3,0.1,0.0
107.49999999999817,4,0.7,3.3
107.49999999999817,5,2.3000000000000007,0.0
107.49999999999817,6,1.7000000000000004,0.0
107.49999999999817,7,1.2,0.0
107.49999999999817,8,0.6,0.0
107.49999999999817,9,1.3,0.0
107.49999999999817,10,0.1,0.0
107.49999999999817,11,2.3000000000000007,0.0
107.49999999999817,12,1.8000000000000005,0.0
107.49999999999817,13,0.0,0.0
107.49999999999817,14,1.9000000000000006,0.0
107.49999999999817,15,0.1,0.0
107.49999999999817,16,0.7,0.0
107.49999999999817,17,1.2,0.0
107.49999999999817,18,0.0,0.0
107.49999999999817,19,2.500000000000001,0.0
107.49999999999817,20,0.5,3.5
107.49999999999817,21,0.0,0.0
107.49999999999817,22,0.0,0.0
107.49999999999817,23,2.3000000000000007,0.0
107.49999999999817,24,2.800000000000001,1.1999999999999988
107.59999999999816,0,3.0000000000000013,0.9999999999999987
107.59999999999816,1,3.5000000000000018,0.0
107.59999999999816,2,0.2,0.0
107.59999999999816,3,0.2,0.0
107.59999999999816,4,0.7999999999999999,3.2
107.59999999999816,5,2.400000000000001,0.0
107.59999999999816,6,1.8000000000000005,0.0
107.59999999999816,7,1.3,0.0
107.59999999999816,8,0.7,0.0
107.59999999999816,9,1.4000000000000001,0.0
107.59999999999816,10,0.2,0.0
107.59999999999816,11,2.400000000000001,0.0
107.59999999999816,12,1.9000000000000006,0.0
107.59999999999816,13,0.1,0.0
107.59999999999816,14,2.0000000000000004,0.0
107.59999999999816,15,0.2,0.0
107.59999999999816,16,0.7999999999999999,0.0
107.59999999999816,17,1.3,0.0
107.59999999999816,18,0.1,0.0
107.59999999999816,19,2.600000000000001,0.0
107.59999999999816,20,0.6,3.4
107.59999999999816,21,0.1,0.0
107.59999999999816,22,0.1,0.0
107.59999999999816,23,2.400000000000001,0.0
107.59999999999816,24,2.9000000000000012,1.0999999999999988
107.69999999999816,0,3.1000000000000014,0.8999999999999986
107.69999999999816,1,3.600000000000002,0.0
107.69999999999816,2,0.30000000000000004,0.0
107.69999999999816,3,0.30000000000000004,0.0
107.69999999999816,4,0.8999999999999999,3.1
107.69999999999816,5,2.500000000000001,0.0
107.69999999999816,6,1.9000000000000006,0.0
107.69999999999816,7,1.4000000000000001,0.0
107.69999999999816,8,0.7999999999999999,0.0
107.69999999999816,9,1.5000000000000002,0.0
107.69999999999816,10,0.30000000000000004,0.0
107.69999999999816,11,2.500000000000001,0.0
107.69999999999816,12,2.0000000000000004,0.0
107.69999999999816,13,0.2,0.0
107.69999999999816,14,2.1000000000000005,0.0
107.69999999999816,15,0.30000000000000004,0.0
107.69999999999816,16,0.8999999999999999,0.0
107.69999999999816,17,1.4000000000000001,0.0
107.69999999999816,18,0.2,0.0
107.69999999999816,19,2.700000000000001,0.0
107.69999999999816,20,0.7,3.3
107.69999999999816,21,0.2,0.0
107.69999999999816,22,0.2,0.0
107.69999999999816,23,2.500000000000001,0.0
107.69999999999816,24,3.0000000000000013,0.9999999999999987
107.79999999999815,0,3.2000000000000015,0.7999999999999985
107.79999999999815,1,3.700000000000002,0.0
107.79999999999815,2,0.4,0.0
107.79999999999815,3,0.4,0.0
107.79999999999815,4,0.9999999999999999,3.0
107.79999999999815,5,2.600000000000001,0.0
107.79999999999815,6,2.0000000000000004,0.0
107.79999999999815,7,1.5000000000000002,0.0
107.79999999999815,8,0.8999999999999999,0.0
107.79999999999815,9,1.6000000000000003,0.0
107.79999999999815,10,0.4,0.0
107.79999999999815,11,2.600000000000001,0.0
107.79999999999815,12,2.1000000000000005,0.0
107.79999999999815,13,0.30000000000000004,0.0
107.79999999999815,14,2.2000000000000006,0.0
107.79999999999815,15,0.4,0.0
107.79999999999815,16,0.9999999999999999,0.0
107.79999999999815,17,1.5000000000000002,0.0
107.79999999999815,18,0.30000000000000004,0.0
107.79999999999815,19,2.800000000000001,0.0
107.79999999999815,20,0.7999999999999999,3.2
107.79999999999815,21,0.30000000000000004,0.0
107.79999999999815,22,0.30000000000000004,0.0
107.79999999999815,23,2.600000000000001,0.0
107.79999999999815,24,3.1000000000000014,0.8999999999999986
107.89999999999814,0,3.3000000000000016,0.6999999999999984
107.89999999999814,1,0.0,0.0
